tweet_id,favorites,retweets,user_followers,user_favourites,date_time
689659372465688576,10616,3988,,,2016-01-20 04:03:02+00:00
689623661272240129,2280,655,,,2016-01-20 01:41:08+00:00
689599056876867584,11926,5677,,,2016-01-20 00:03:21+00:00
689557536375177216,2100,469,,,2016-01-19 21:18:22+00:00
689517482558820352,3483,1470,,,2016-01-19 18:39:13+00:00
689289219123089408,2309,966,,,2016-01-19 03:32:10+00:00
689283819090870273,3359,1134,,,2016-01-19 03:10:43+00:00
689280876073582592,2030,728,,,2016-01-19 02:59:01+00:00
689275259254616065,1179,248,,,2016-01-19 02:36:42+00:00
689154315265683456,3143,1022,,,2016-01-18 18:36:07+00:00
689143371370250240,2059,522,,,2016-01-18 17:52:38+00:00
688916208532455424,2788,896,,,2016-01-18 02:49:58+00:00
688908934925697024,2166,790,,,2016-01-18 02:21:04+00:00
688898160958271489,2151,798,,,2016-01-18 01:38:15+00:00
688894073864884227,2292,710,,,2016-01-18 01:22:00+00:00
688828561667567616,1412,381,,,2016-01-17 21:01:41+00:00
688804835492233216,985,195,,,2016-01-17 19:27:24+00:00
688789766343622656,2271,676,,,2016-01-17 18:27:32+00:00
688547210804498433,2672,719,,,2016-01-17 02:23:42+00:00
688519176466644993,2376,744,,,2016-01-17 00:32:18+00:00
688385280030670848,9511,4578,,,2016-01-16 15:40:14+00:00
688211956440801280,2290,853,,,2016-01-16 04:11:31+00:00
688179443353796608,2178,597,,,2016-01-16 02:02:19+00:00
688116655151435777,2903,801,,,2016-01-15 21:52:49+00:00
688064179421470721,1768,368,,,2016-01-15 18:24:18+00:00
687826841265172480,2802,1156,,,2016-01-15 02:41:12+00:00
687818504314159109,2551,973,,,2016-01-15 02:08:05+00:00
687807801670897665,2451,729,,,2016-01-15 01:25:33+00:00
687704180304273409,2496,861,,,2016-01-14 18:33:48+00:00
687664829264453632,1988,519,,,2016-01-14 15:57:26+00:00
687494652870668288,1950,588,,,2016-01-14 04:41:12+00:00
687480748861947905,1640,248,,,2016-01-14 03:45:57+00:00
687476254459715584,2030,547,,,2016-01-14 03:28:06+00:00
687460506001633280,2108,556,,,2016-01-14 02:25:31+00:00
687317306314240000,20631,9412,,,2016-01-13 16:56:30+00:00
687312378585812992,4469,1947,,,2016-01-13 16:36:55+00:00
687127927494963200,5595,2353,,,2016-01-13 04:23:58+00:00
687124485711986689,2221,514,,,2016-01-13 04:10:18+00:00
687109925361856513,5954,2532,,,2016-01-13 03:12:26+00:00
687102708889812993,2396,1007,,,2016-01-13 02:43:46+00:00
687096057537363968,2298,617,,,2016-01-13 02:17:20+00:00
686947101016735744,8828,3276,,,2016-01-12 16:25:26+00:00
686749460672679938,3563,1488,,,2016-01-12 03:20:05+00:00
686730991906516992,4243,1233,,,2016-01-12 02:06:41+00:00
686683045143953408,2892,828,,,2016-01-11 22:56:10+00:00
686618349602762752,3782,1397,,,2016-01-11 18:39:05+00:00
686606069955735556,1941,554,,,2016-01-11 17:50:18+00:00
686386521809772549,3339,901,,,2016-01-11 03:17:53+00:00
686377065986265092,2262,582,,,2016-01-11 02:40:19+00:00
686358356425093120,2245,692,,,2016-01-11 01:25:58+00:00
686050296934563840,2255,741,,,2016-01-10 05:01:51+00:00
686034024800862208,3193,1185,,,2016-01-10 03:57:12+00:00
686007916130873345,2548,426,,,2016-01-10 02:13:27+00:00
686003207160610816,1869,652,,,2016-01-10 01:54:44+00:00
685973236358713344,2155,536,,,2016-01-09 23:55:38+00:00
685943807276412928,1667,609,,,2016-01-09 21:58:42+00:00
685906723014619143,7696,2977,,,2016-01-09 19:31:20+00:00
685667379192414208,2409,591,,,2016-01-09 03:40:16+00:00
685663452032069632,3336,1500,,,2016-01-09 03:24:40+00:00
685641971164143616,3009,804,,,2016-01-09 01:59:19+00:00
685547936038666240,33779,16094,,,2016-01-08 19:45:39+00:00
685532292383666176,3108,1194,,,2016-01-08 18:43:29+00:00
685325112850124800,9711,4079,,,2016-01-08 05:00:14+00:00
685321586178670592,2717,663,,,2016-01-08 04:46:13+00:00
685315239903100929,3426,1089,,,2016-01-08 04:21:00+00:00
685307451701334016,2124,456,,,2016-01-08 03:50:03+00:00
685268753634967552,3183,1229,,,2016-01-08 01:16:17+00:00
685198997565345792,2395,684,,,2016-01-07 20:39:06+00:00
685169283572338688,4212,1462,,,2016-01-07 18:41:01+00:00
684959798585110529,6989,3219,,,2016-01-07 04:48:36+00:00
684940049151070208,3299,1069,,,2016-01-07 03:30:07+00:00
684926975086034944,3586,474,,,2016-01-07 02:38:10+00:00
684914660081053696,3598,1501,,,2016-01-07 01:49:14+00:00
684902183876321280,1924,545,,,2016-01-07 00:59:40+00:00
684880619965411328,2150,840,,,2016-01-06 23:33:58+00:00
684800227459624960,2787,1032,,,2016-01-06 18:14:31+00:00
684594889858887680,9136,3623,,,2016-01-06 04:38:35+00:00
684567543613382656,3097,1264,,,2016-01-06 02:49:55+00:00
684538444857667585,2711,979,,,2016-01-06 00:54:18+00:00
684481074559381504,3976,1204,,,2016-01-05 21:06:19+00:00
684460069371654144,2027,571,,,2016-01-05 19:42:51+00:00
684241637099323392,8359,3376,,,2016-01-05 05:14:53+00:00
684200372118904832,2216,1059,,,2016-01-05 02:30:55+00:00
684195085588783105,1962,525,,,2016-01-05 02:09:54+00:00
684188786104872960,3578,1210,,,2016-01-05 01:44:52+00:00
684177701129875456,2065,680,,,2016-01-05 01:00:50+00:00
684122891630342144,2054,483,,,2016-01-04 21:23:02+00:00
684097758874210310,4222,1469,,,2016-01-04 19:43:10+00:00
683857920510050305,3901,1142,,,2016-01-04 03:50:08+00:00
683852578183077888,1978,357,,,2016-01-04 03:28:54+00:00
683849932751646720,2672,995,,,2016-01-04 03:18:23+00:00
683834909291606017,2691,1139,,,2016-01-04 02:18:42+00:00
683828599284170753,2868,1094,,,2016-01-04 01:53:37+00:00
683773439333797890,3425,1393,,,2016-01-03 22:14:26+00:00
683742671509258241,6653,3415,,,2016-01-03 20:12:10+00:00
683498322573824003,3239,987,,,2016-01-03 04:01:13+00:00
683481228088049664,2711,1024,,,2016-01-03 02:53:17+00:00
683462770029932544,2486,695,,,2016-01-03 01:39:57+00:00
683449695444799489,3996,1641,,,2016-01-03 00:47:59+00:00
683391852557561860,7822,2461,,,2016-01-02 20:58:09+00:00
683357973142474752,3004,953,,,2016-01-02 18:43:31+00:00
683142553609318400,2952,1071,,,2016-01-02 04:27:31+00:00
683111407806746624,3477,935,,,2016-01-02 02:23:45+00:00
683098815881154561,2213,677,,,2016-01-02 01:33:43+00:00
683078886620553216,2032,578,,,2016-01-02 00:14:32+00:00
683030066213818368,2206,753,,,2016-01-01 21:00:32+00:00
682962037429899265,37808,17101,,,2016-01-01 16:30:13+00:00
682788441537560576,2533,1140,,,2016-01-01 05:00:24+00:00
682750546109968385,1552,449,,,2016-01-01 02:29:49+00:00
682697186228989953,1343,369,,,2015-12-31 22:57:47+00:00
682662431982772225,3133,1111,,,2015-12-31 20:39:41+00:00
682638830361513985,2113,619,,,2015-12-31 19:05:54+00:00
682429480204398592,3514,1194,,,2015-12-31 05:14:01+00:00
682406705142087680,7768,1811,,,2015-12-31 03:43:31+00:00
682393905736888321,2288,696,,,2015-12-31 02:52:40+00:00
682389078323662849,1704,476,,,2015-12-31 02:33:29+00:00
682303737705140231,3138,1022,,,2015-12-30 20:54:22+00:00
682259524040966145,4262,1241,,,2015-12-30 17:58:40+00:00
682242692827447297,3337,1201,,,2015-12-30 16:51:48+00:00
682059653698686977,5066,1734,,,2015-12-30 04:44:28+00:00
682047327939461121,3269,976,,,2015-12-30 03:55:29+00:00
682032003584274432,6750,2068,,,2015-12-30 02:54:35+00:00
682003177596559360,3217,1569,,,2015-12-30 01:00:03+00:00
681981167097122816,2869,1065,,,2015-12-29 23:32:35+00:00
681891461017812993,2522,839,,,2015-12-29 17:36:07+00:00
681694085539872773,13084,4175,,,2015-12-29 04:31:49+00:00
681679526984871937,1810,458,,,2015-12-29 03:33:58+00:00
681654059175129088,2701,952,,,2015-12-29 01:52:46+00:00
681610798867845120,1950,484,,,2015-12-28 23:00:52+00:00
681579835668455424,3635,1338,,,2015-12-28 20:57:50+00:00
681523177663676416,14664,5932,,,2015-12-28 17:12:42+00:00
681339448655802368,9513,4196,,,2015-12-28 05:02:37+00:00
681320187870711809,2708,771,,,2015-12-28 03:46:05+00:00
681302363064414209,4039,1864,,,2015-12-28 02:35:15+00:00
681297372102656000,3280,986,,,2015-12-28 02:15:26+00:00
681281657291280384,3294,1126,,,2015-12-28 01:12:59+00:00
681261549936340994,1489,281,,,2015-12-27 23:53:05+00:00
681242418453299201,1520,551,,,2015-12-27 22:37:04+00:00
681231109724700672,2461,500,,,2015-12-27 21:52:07+00:00
681193455364796417,3783,1527,,,2015-12-27 19:22:30+00:00
680970795137544192,2476,676,,,2015-12-27 04:37:44+00:00
680959110691590145,4673,2052,,,2015-12-27 03:51:18+00:00
680940246314430465,3279,1077,,,2015-12-27 02:36:20+00:00
680934982542561280,2120,447,,,2015-12-27 02:15:25+00:00
680913438424612864,2456,637,,,2015-12-27 00:49:49+00:00
680889648562991104,1802,375,,,2015-12-26 23:15:17+00:00
680836378243002368,3539,1358,,,2015-12-26 19:43:36+00:00
680801747103793152,2429,837,,,2015-12-26 17:25:59+00:00
680798457301471234,2915,1064,,,2015-12-26 17:12:55+00:00
680609293079592961,2698,724,,,2015-12-26 04:41:15+00:00
680583894916304897,3708,1376,,,2015-12-26 03:00:19+00:00
680497766108381184,4324,1966,,,2015-12-25 21:18:05+00:00
680494726643068929,1761,495,,,2015-12-25 21:06:00+00:00
680473011644985345,2604,759,,,2015-12-25 19:39:43+00:00
680440374763077632,1482,512,,,2015-12-25 17:30:01+00:00
680221482581123072,1492,298,,,2015-12-25 03:00:14+00:00
680206703334408192,2899,1204,,,2015-12-25 02:01:30+00:00
680191257256136705,2191,512,,,2015-12-25 01:00:07+00:00
680176173301628928,3980,1594,,,2015-12-25 00:00:11+00:00
680161097740095489,2372,754,,,2015-12-24 23:00:17+00:00
680145970311643136,3690,1784,,,2015-12-24 22:00:10+00:00
680130881361686529,2334,970,,,2015-12-24 21:00:12+00:00
680115823365742593,2773,927,,,2015-12-24 20:00:22+00:00
680100725817409536,3653,1411,,,2015-12-24 19:00:23+00:00
680085611152338944,13074,9182,,,2015-12-24 18:00:19+00:00
680070545539371008,2640,900,,,2015-12-24 17:00:27+00:00
679877062409191424,2011,667,,,2015-12-24 04:11:37+00:00
679862121895714818,2503,640,,,2015-12-24 03:12:15+00:00
679854723806179328,2917,1259,,,2015-12-24 02:42:51+00:00
679844490799091713,2419,781,,,2015-12-24 02:02:12+00:00
679828447187857408,37050,14338,,,2015-12-24 00:58:27+00:00
679777920601223168,3150,1134,,,2015-12-23 21:37:40+00:00
679736210798047232,2132,814,,,2015-12-23 18:51:56+00:00
679729593985699840,2205,847,,,2015-12-23 18:25:38+00:00
679722016581222400,1688,476,,,2015-12-23 17:55:32+00:00
679530280114372609,4872,2131,,,2015-12-23 05:13:38+00:00
679527802031484928,2694,737,,,2015-12-23 05:03:47+00:00
679511351870550016,3437,1294,,,2015-12-23 03:58:25+00:00
679503373272485890,3213,1506,,,2015-12-23 03:26:43+00:00
679475951516934144,2131,654,,,2015-12-23 01:37:45+00:00
679462823135686656,32352,19272,,,2015-12-23 00:45:35+00:00
679158373988876288,21816,8226,,,2015-12-22 04:35:49+00:00
679148763231985668,2831,1051,,,2015-12-22 03:57:37+00:00
679132435750195208,3020,1184,,,2015-12-22 02:52:45+00:00
679111216690831360,6090,2617,,,2015-12-22 01:28:25+00:00
679062614270468097,17345,8327,,,2015-12-21 22:15:18+00:00
679047485189439488,2286,686,,,2015-12-21 21:15:11+00:00
678991772295516161,2355,1195,,,2015-12-21 17:33:48+00:00
678969228704284672,1677,472,,,2015-12-21 16:04:13+00:00
